Int32, -1, 10000, 0, 0, 0, 0, 0, 0, 0, 100, 100
2011-01-01T12:00:10Z, 2011-01-01T12:00:10Z, Good, Raw, Int32, 762
2011-01-01T12:00:20Z, 2011-01-01T12:00:20Z, Good, Raw, Int32, 1248
2011-01-01T12:00:30Z, 2011-01-01T12:00:30Z, Good, Raw, Int32, 702
2011-01-01T12:00:40Z, 2011-01-01T12:00:40Z, Good, Raw, Int32, 101
2011-01-01T12:00:50Z, 2011-01-01T12:00:50Z, Good, Raw, Int32, 702
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Raw, Int32, 933
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Annotation, 2012-01-02T08:00:00Z, Operator1, Scan failed,  Bad Data entered
2011-01-01T12:01:00Z, 2011-01-01T12:01:00Z, Good, Annotation, 2012-01-04T07:10:00Z, , Value cannot be verified
2011-01-01T12:01:10Z, 2011-01-01T12:01:10Z, Good, Raw, Int32, 950
2011-01-01T12:01:20Z, 2011-01-01T12:01:20Z, Good, Raw, Int32, 1568
2011-01-01T12:01:20Z, 2011-01-01T12:01:20Z, Good, Annotation, 2012-01-04T07:00:00Z, Engineer1, Scanner fixed
2011-01-01T12:01:30Z, 2011-01-01T12:01:30Z, Uncertain, Raw, Int32, 1756
2011-01-01T12:01:40Z, 2011-01-01T12:01:40Z, Good, Raw, Int32, 1336
2011-01-01T12:01:40Z, 2011-01-01T12:01:40Z, Good, Annotation, 2012-01-02T08:00:00Z, Tehnician_1, Value flagged as questionable
2011-01-01T12:01:50Z, 2011-01-01T12:01:50Z, Good, Raw, Int32, 742
2011-01-01T12:02:00Z, 2011-01-01T12:02:00Z, Bad, Raw, Int32, 877
2011-01-01T12:02:10Z, 2011-01-01T12:02:10Z, Good, Raw, Int32, 1254
2011-01-01T12:02:20Z, 2011-01-01T12:02:20Z, Good, Raw, Int32, 435
2011-01-01T12:02:30Z, 2011-01-01T12:02:30Z, Good, Raw, Int32, 1394
2011-01-01T12:02:40Z, 2011-01-01T12:02:40Z, Bad, Raw, Int32, 66
2011-01-01T12:02:50Z, 2011-01-01T12:02:50Z, Bad, Raw, Int32, 728
2011-01-01T12:03:00Z, 2011-01-01T12:03:00Z, Good, Raw, Int32, 1521
2011-01-01T12:03:10Z, 2011-01-01T12:03:10Z, Good, Raw, Int32, 1505
2011-01-01T12:03:20Z, 2011-01-01T12:03:20Z, Good, Raw, Int32, 1937
2011-01-01T12:03:30Z, 2011-01-01T12:03:30Z, Good, Raw, Int32, 869
2011-01-01T12:03:40Z, 2011-01-01T12:03:40Z, Good, Raw, Int32, 675
2011-01-01T12:03:50Z, 2011-01-01T12:03:50Z, Good, Raw, Int32, 1476
2011-01-01T12:04:00Z, 2011-01-01T12:04:00Z, Good, Raw, Int32, 441
2011-01-01T12:04:10Z, 2011-01-01T12:04:10Z, Good, Raw, Int32, 819
2011-01-01T12:04:20Z, 2011-01-01T12:04:20Z, Good, Raw, Int32, 579
2011-01-01T12:04:30Z, 2011-01-01T12:04:30Z, Good, Raw, Int32, 723
2011-01-01T12:04:40Z, 2011-01-01T12:04:40Z, Good, Raw, Int32, 1976
2011-01-01T12:04:50Z, 2011-01-01T12:04:50Z, Good, Raw, Int32, 643
2011-01-01T12:05:00Z, 2011-01-01T12:05:00Z, Good, Raw, Int32, 675
2011-01-01T12:05:10Z, 2011-01-01T12:05:10Z, Good, Raw, Int32, 454
2011-01-01T12:05:20Z, 2011-01-01T12:05:20Z, Good, Raw, Int32, 1216
2011-01-01T12:05:30Z, 2011-01-01T12:05:30Z, Good, Raw, Int32, 314
2011-01-01T12:05:40Z, 2011-01-01T12:05:40Z, Good, Raw, Int32, 1606
2011-01-01T12:05:50Z, 2011-01-01T12:05:50Z, Good, Raw, Int32, 308
2011-01-01T12:06:00Z, 2011-01-01T12:06:00Z, Good, Raw, Int32, 1357
2011-01-01T12:06:10Z, 2011-01-01T12:06:10Z, Good, Raw, Int32, 376
2011-01-01T12:06:20Z, 2011-01-01T12:06:20Z, Good, Raw, Int32, 152
2011-01-01T12:06:30Z, 2011-01-01T12:06:30Z, Good, Raw, Int32, 87
2011-01-01T12:06:40Z, 2011-01-01T12:06:40Z, Good, Raw, Int32, 475
2011-01-01T12:06:50Z, 2011-01-01T12:06:50Z, Good, Raw, Int32, 741
2011-01-01T12:07:00Z, 2011-01-01T12:07:00Z, Good, Raw, Int32, 1876
2011-01-01T12:07:10Z, 2011-01-01T12:07:10Z, Good, Raw, Int32, 1269
2011-01-01T12:07:20Z, 2011-01-01T12:07:20Z, Good, Raw, Int32, 296
2011-01-01T12:07:30Z, 2011-01-01T12:07:30Z, Good, Raw, Int32, 927
2011-01-01T12:07:40Z, 2011-01-01T12:07:40Z, Good, Raw, Int32, 1961
2011-01-01T12:07:50Z, 2011-01-01T12:07:50Z, Good, Raw, Int32, 1205
2011-01-01T12:08:00Z, 2011-01-01T12:08:00Z, Good, Raw, Int32, 517
2011-01-01T12:08:10Z, 2011-01-01T12:08:10Z, Good, Raw, Int32, 1435
2011-01-01T12:08:20Z, 2011-01-01T12:08:20Z, Good, Raw, Int32, 1091
2011-01-01T12:08:30Z, 2011-01-01T12:08:30Z, Good, Raw, Int32, 1534
2011-01-01T12:08:40Z, 2011-01-01T12:08:40Z, Good, Raw, Int32, 80
2011-01-01T12:08:50Z, 2011-01-01T12:08:50Z, Good, Raw, Int32, 1603
2011-01-01T12:09:00Z, 2011-01-01T12:09:00Z, Good, Raw, Int32, 1822
2011-01-01T12:09:10Z, 2011-01-01T12:09:10Z, Good, Raw, Int32, 1925
2011-01-01T12:09:20Z, 2011-01-01T12:09:20Z, Good, Raw, Int32, 1423
2011-01-01T12:09:30Z, 2011-01-01T12:09:30Z, Good, Raw, Int32, 517
2011-01-01T12:09:40Z, 2011-01-01T12:09:40Z, Good, Raw, Int32, 646
2011-01-01T12:09:50Z, 2011-01-01T12:09:50Z, Good, Raw, Int32, 1188
2011-01-01T12:10:00Z, 2011-01-01T12:10:00Z, Good, Raw, Int32, 1171
2011-01-01T12:10:10Z, 2011-01-01T12:10:10Z, Good, Raw, Int32, 1506
2011-01-01T12:10:20Z, 2011-01-01T12:10:20Z, Good, Raw, Int32, 1862
2011-01-01T12:10:30Z, 2011-01-01T12:10:30Z, Good, Raw, Int32, 1480
2011-01-01T12:10:40Z, 2011-01-01T12:10:40Z, Good, Raw, Int32, 940
2011-01-01T12:10:50Z, 2011-01-01T12:10:50Z, Good, Raw, Int32, 1424
2011-01-01T12:11:00Z, 2011-01-01T12:11:00Z, Good, Raw, Int32, 1120
